strain	sample	accession	lineage	city	state	country	host	collection	date	source	authors	url	title	journal	paper_url
Neudoerfl_TBEV_Unknown_NA_Austria_Unknown_Unknown_1971-XX-XX	Neudoerfl	NC_001672	TBEV	Unknown_Austria	Unknown_Austria	Austria	Unknown	Unknown	1971-06-01	GenBank	Mandl et al. (1989)	https://www.ncbi.nlm.nih.gov/nuccore/NC_001672.1			
Pow-24_LI_Kamenushki_Primorsky-Krai_Russia_Ixodes-persulcatus_Unknown_Unknown_1975-05-11	Pow-24	MG652438.1	LI	Kamenushki_Russia	Primorsky-Krai_Russia	Russia	Ixodes-persulcatus	Unknown	1975-05-11	GenBank	Pivanova et al.	https://www.ncbi.nlm.nih.gov/nuccore/MG652438.1			
Leiv-5530_LI_Unknown_Primorsky-Krai_Russia_Ixodes_Unknown_Unknown_1970-XX-XX	Leiv-5530	KT224351.1	LI	Unknown_Russia	Primorsky-Krai_Russia	Russia	Ixodes	Unknown	1970-06-01	GenBank	Alkhovsky et al.	https://www.ncbi.nlm.nih.gov/nuccore/KT224351.1			
Leiv-3070Prm_LI_Unknown_Primorsky-Krai_Russia_Ixodes_Unknown_Unknown_1977-XX-XX	Leiv-3070Prm	KT224350.1	LI	Unknown_Russia	Primorsky-Krai_Russia	Russia	Ixodes	Unknown	1977-06-01	GenBank	Alkhovsky et al.	https://www.ncbi.nlm.nih.gov/nuccore/KT224350.1			
Ternay_LI_Unknown_Unknown_Russia_Homo-sapiens_NA_NA_2006-XX-XX	Ternay	HQ231415.1	LI	Unknown_Russia	Unknown_Russia	Russia	Homo-sapiens	NA	2006-06-01	GenBank	Kulakova et al.	https://www.ncbi.nlm.nih.gov/nuccore/HQ231415.1			
Ulysses_LI_Unknown_Unknown_Russia_Homo-sapiens_NA_NA_2006-XX-XX	Ulysses	HQ231414.1	LI	Unknown_Russia	Unknown_Russia	Russia	Homo-sapiens	NA	2006-06-01	GenBank	Kulakova et al.	https://www.ncbi.nlm.nih.gov/nuccore/HQ231414.1			
Spassk-9_LI_Unknown_Unknown_Russia_Dermacentor-silvarum_Unknown_Unknown_1975-04-15	Spassk-9	EU770575.1	LI	Unknown_Russia	Unknown_Russia	Russia	Dermacentor-silvarum	Unknown	1975-04-15	GenBank	Leonova et al. (2009)	https://www.ncbi.nlm.nih.gov/nuccore/EU770575.1	Characterization of Powassan viruses from Far Eastern Russia	Arch. Virol. 154(5):811-820	https://pubmed.ncbi.nlm.nih.gov/19363586/
Nadezdinsk-1991_LI_Unknown_Unknown_Russia_Homo-sapiens_NA_NA_1991-XX-XX	Nadezdinsk-1991	EU670438.1	LI	Unknown_Russia	Unknown_Russia	Russia	Homo-sapiens	NA	1991-06-01	GenBank	Leonova et al. (2009)	https://www.ncbi.nlm.nih.gov/nuccore/EU670438.1	Characterization of Powassan viruses from Far Eastern Russia	Arch. Virol. 154(5):811-820	https://pubmed.ncbi.nlm.nih.gov/19363586/
Partizansk-2006_LI_Unknown_Unknown_Russia_Homo-sapiens_NA_NA_2006-XX-XX	Partizansk-2006	EU543649.1	LI	Unknown_Russia	Unknown_Russia	Russia	Homo-sapiens	NA	2006-06-01	GenBank	Leonova et al. (2009)	https://www.ncbi.nlm.nih.gov/nuccore/EU543649.1	Characterization of Powassan viruses from Far Eastern Russia	Arch. Virol. 154(5):811-820	https://pubmed.ncbi.nlm.nih.gov/19363586/
P0375-KU886216_LII_Bridgeport_CT_USA_Ixodes-scapularis_Unknown_Unknown_2010-11-01	P0375	KU886216.1	LII	Bridgeport_CT	Connecticut	USA	Ixodes-scapularis	Unknown	2010-11-01	GenBank	Grubaugh et al. (2016)	https://www.ncbi.nlm.nih.gov/nuccore/KU886216.1	Transmission bottlenecks and RNAi collectively influence tick-borne flavivirus evolution	Virus Evol. 2(2): vew033 (2016)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5210029/
